Isolat_ name	STATE	PEN	CAL_YR	Serotype (Quellung)	23B1(pneumoCaT)	ST	aroE	gdh	gki	recP	spi	xpt	ddl	BAPS_cluster	n contigs	n_100	n_N50	min	median	mean	N50	max	sum	Isolat_ name	ENA_accession
27947Y12	MD	0.25	2012	23a		338	7	13	8	6	1	6	8	1	185	154	12	100	1777	13592	51462	167981	2093197	27947Y12	ERS1139972
27950Y12	MD	0.12	2012	23a		338	7	13	8	6	1	6	8	1	182	156	12	101	1043	13326	58278	160729	2078901	27950Y12	ERS1139973
27967Y12	MD	0.12	2012	23a		338	7	13	8	6	1	6	8	1	217	182	14	100	1047	11690	43437	162734	2127583	27967Y12	ERS1139974
27997Y12	NM	0.25	2012	23a		338	7	13	8	6	1	6	8	1	193	172	14	102	1121	11933	39869	162800	2052504	27997Y12	ERS1139978
28098Y12	TN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	197	169	12	105	1242	12352	65013	162914	2087521	28098Y12	ERS1139981
28128Y12	TN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	178	153	12	105	1591	13502	51530	192805	2065931	28128Y12	ERS1139982
28141Y12	OR	0.12	2012	23a		338	7	13	8	6	1	6	8	1	212	193	13	104	798	10821	46706	256133	2088509	28141Y12	ERS1139984
28173Y12	NY	0.25	2012	23a		4671	7	13	8	15	1	6	8	1	203	173	13	100	1044	12120	51993	167837	2096867	28173Y12	ERS1139989
28176Y12	NY	0.25	2012	23a		338	7	13	8	6	1	6	8	1	247	217	14	100	501	9800	39946	162766	2126787	28176Y12	ERS1139990
28181Y12	NY	0.25	2012	23a		338	7	13	8	6	1	6	8	1	191	170	14	102	1590	12233	41542	162910	2079752	28181Y12	ERS1139992
28262Y12	NM	0.25	2012	23a		338	7	13	8	6	1	6	8	1	229	198	16	105	1838	10582	40143	122430	2095414	28262Y12	ERS1139999
28270Y12	NM	0.25	2012	23a		338	7	13	8	6	1	6	8	1	216	188	14	102	946	11073	47438	158400	2081876	28270Y12	ERS1140000
28365Y12	OR	0.25	2012	23a		338	7	13	8	6	1	6	8	1	149	143	12	101	922	14679	55560	215404	2099136	28365Y12	ERS1140001
28437Y12	NY	0.25	2012	23a		338	7	13	8	6	1	6	8	1	160	154	9	101	413	13340	68273	220239	2054494	28437Y12	ERS1140004
28517Y12	CT	0.12	2012	23a		338	7	13	8	6	1	6	8	1	178	170	11	101	476	12344	55560	214825	2098634	28517Y12	ERS1140013
28521Y12	CT	0.25	2012	23a		338	7	13	8	6	1	6	8	1	427	396	16	101	258	5520	46476	162793	2186077	28521Y12	ERS1140014
28577Y12	OR	0.25	2012	23a		338	7	13	8	6	1	6	8	1	249	220	17	102	626	9844	39575	158400	2165683	28577Y12	ERS1140019
28617Y12	TN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	236	209	16	100	743	9846	33622	158400	2057936	28617Y12	ERS1140024
28623Y12	TN	0.12	2012	23a		338	7	13	8	6	1	6	8	1	249	222	13	100	387	9428	55311	163456	2093218	28623Y12	ERS1140025
28654Y12	TN	0.12	2012	23a		338	7	13	8	6	1	6	8	1	171	149	12	105	2770	14038	59696	162752	2091689	28654Y12	ERS1140027
28675Y12	NY	0.12	2012	23a		338	7	13	8	6	1	6	8	1	252	216	14	101	675	9857	51623	162766	2129315	28675Y12	ERS1140029
28677Y12	NY	0.12	2012	23a		338	7	13	8	6	1	6	8	1	221	194	14	102	675	10792	49946	162748	2093780	28677Y12	ERS1140030
28716Y12	NM	0.25	2012	23a		338	7	13	8	6	1	6	8	1	219	196	15	105	677	10556	39665	156362	2069120	28716Y12	ERS1140033
28767Y12	TN	0.12	2012	23a		338	7	13	8	6	1	6	8	1	145	138	10	103	751	15237	65120	167847	2102715	28767Y12	ERS1140040
28820Y12	NY	0.25	2012	23a		338	7	13	8	6	1	6	8	1	160	154	11	101	494	13676	62464	163604	2106172	28820Y12	ERS1140044
28841Y12	MD	0.25	2012	23a		338	7	13	8	6	1	6	8	1	340	321	12	101	241	6640	57949	184717	2131582	28841Y12	ERS1140045
28854Y12	MD	0.25	2012	23a		338	7	13	8	6	1	6	8	1	180	180	14	104	485	11629	46556	163651	2093361	28854Y12	ERS1140047
28869Y12	MD	0.25	2012	23a		338	7	13	8	6	1	6	8	1	144	141	9	105	561	14878	96119	162793	2097885	28869Y12	ERS1140049
28907Y12	CO	0.12	2012	23a		338	7	13	8	6	1	6	8	1	191	176	18	105	1532	12027	34088	178861	2116916	28907Y12	ERS1140052
29028Y12	MD	0.25	2012	23a		338	7	13	8	6	1	6	8	1	335	310	13	100	232	6826	59278	160734	2116222	29028Y12	ERS1140067
29089Y12	NM	0.25	2012	23a		338	7	13	8	6	1	6	8	1	160	150	10	101	688	13983	71340	215078	2097585	29089Y12	ERS1140074
29168Y12	OR	0.25	2012	23a		338	7	13	8	6	1	6	8	1	149	140	10	101	768	14638	63027	215190	2049360	29168Y12	ERS1140081
29197Y12	CT	0.12	2012	23a		338	7	13	8	6	1	6	8	1	176	166	15	100	1273	12647	45185	128542	2099564	29197Y12	ERS1140085
29291Y12	NM	0.12	2012	23a		338	7	13	8	6	1	6	8	1	143	135	12	101	920	15475	59627	137062	2089240	29291Y12	ERS1140092
29415Y12	CO	0.25	2012	23a		338	7	13	8	6	1	6	8	1	209	203	14	105	537	10326	42739	127651	2096373	29415Y12	ERS1140105
29495Y12	CT	0.25	2012	23a		11858	7	13	8	6	1	77	8	1	142	137	11	101	738	15359	64372	220260	2104225	29495Y12	ERS1140113
29513Y12	CT	0.25	2012	23a		338	7	13	8	6	1	6	8	1	156	145	9	101	630	14244	67520	219676	2065495	29513Y12	ERS1140115
29588Y12	OR	0.25	2012	23a		11585	7	13	8	2	1	6	8	1	171	169	13	101	716	12645	52495	167718	2137087	29588Y12	ERS1140117
29591Y12	OR	0.25	2012	23a		338	7	13	8	6	1	6	8	1	320	280	15	102	268	7452	47219	158599	2086800	29591Y12	ERS1140118
29606Y12	CO	0.25	2012	23a		338	7	13	8	6	1	6	8	1	196	190	14	101	598	11316	50707	162793	2150077	29606Y12	ERS1140121
29707Y13	NM	0.25	2013	23a		338	7	13	8	6	1	6	8	1	157	151	11	102	534	13632	62748	214896	2058522	29707Y13	ERS1140126
29744Y13	NY	0.25	2013	23a		338	7	13	8	6	1	6	8	1	175	169	11	107	395	12404	65473	167905	2096415	29744Y13	ERS1140129
29798Y13	OR	0.25	2013	23a		338	7	13	8	6	1	6	8	1	191	188	10	104	387	11163	55133	213731	2098797	29798Y13	ERS1140131
29881Y12	CT	0.25	2012	23a		338	7	13	8	6	1	6	8	1	239	224	13	101	355	9265	53999	163602	2075364	29881Y12	ERS1140138
29884Y12	CT	0.25	2012	23a		338	7	13	8	6	1	6	8	1	190	180	13	101	735	11498	50945	151238	2069771	29884Y12	ERS1140140
29899Y13	NY	0.25	2013	23a		338	7	13	8	6	1	6	8	1	176	169	13	101	677	12390	47071	184342	2093985	29899Y13	ERS1140145
29902Y13	NY	0.25	2013	23a		338	7	13	8	6	1	6	8	1	169	165	12	101	418	12692	55432	176337	2094267	29902Y13	ERS1140146
29946Y13	CO	0.25	2013	23a		338	7	13	8	6	1	6	8	1	165	162	11	101	768	12943	62561	228275	2096911	29946Y13	ERS1140147
29978y13	CO	0.25	2013	23a		338	7	13	8	6	1	6	8	1	145	142	10	101	738	14780	62464	214663	2098805	29978y13	ERS1140149
30015y13	NY	1	2013	23a		338	7	13	8	6	1	6	8	1	186	178	12	103	623	11581	50403	170958	2061548	30015y13	ERS1140153
30018y13	NY	0.25	2013	23a		7935	7	15	8	6	1	6	8	1	170	163	10	101	433	12846	57199	191090	2093948	30018y13	ERS1140155
30148y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	133	127	10	101	1181	16492	65205	214551	2094530	30148y13	ERS1140167
30213y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	209	201	14	101	609	10477	48992	212926	2106014	30213y13	ERS1140178
30343Y13	NY	0.25	2013	23a		338	7	13	8	6	1	6	8	1	150	139	12	101	944	15115	58624	168149	2101084	30343Y13	ERS1140182
30350Y13	NY	0.25	2013	23a		338	7	13	8	6	1	6	8	1	179	172	11	101	526	12397	57949	215193	2132288	30350Y13	ERS1140185
30387Y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	125	121	10	101	1852	17378	59415	220252	2102825	30387Y13	ERS1140189
30392Y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	132	129	11	101	1147	16239	60790	163023	2094882	30392Y13	ERS1140192
30396Y13	CT	0.12	2013	23a		338	7	13	8	6	1	6	8	1	113	107	9	100	1580	19514	68273	214846	2088067	30396Y13	ERS1140193
30416Y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	146	137	9	101	667	15261	65087	214825	2090821	30416Y13	ERS1140196
30423Y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	136	131	11	101	1056	15943	62533	214825	2088568	30423Y13	ERS1140199
30503Y13	CO	0.12	2013	23a		338	7	13	8	6	1	6	8	1	159	150	11	101	474	13709	62434	213140	2056433	30503Y13	ERS1140203
30517Y13	CO	0.25	2013	23a		338	7	13	8	6	1	6	8	1	158	153	13	100	854	13431	51719	158553	2055057	30517Y13	ERS1140205
30574Y13	TN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	153	150	11	100	675	14016	59681	167842	2102521	30574Y13	ERS1140213
45281y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	307	276	13	101	208	7672	56414	158534	2117504	45281y09	ERS1140215
45323y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	197	190	14	101	453	10856	47181	214612	2062763	45323y09	ERS1140220
45438y09	MN	0.12	2009	23a		338	7	13	8	6	1	6	8	1	158	149	12	101	1070	13821	55104	214663	2059436	45438y09	ERS1140226
45441y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	163	155	9	101	751	13759	68336	220246	2132679	45441y09	ERS1140227
46445y09	GA	0.12	2009	23a		338	7	13	8	6	1	6	8	1	134	129	10	101	1167	16273	63194	215053	2099287	46445y09	ERS1140228
46916y09	GA	0.12	2009	23a		338	7	13	8	6	1	6	8	1	269	252	11	102	246	8403	58473	171704	2117766	46916y09	ERS1140232
46977y09	GA	0.25	2009	23a		338	7	13	8	6	1	6	8	1	168	161	14	102	814	13236	55096	158553	2131069	46977y09	ERS1140236
48151y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	128	122	10	100	2108	16841	63754	215213	2054644	48151y09	ERS1140248
48623Y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	176	170	12	101	387	12368	57976	136709	2102640	48623Y09	ERS1140254
48625Y09	MN	0.25	2009	23a		11859	7	13	8	6	1	6	89	1	142	139	10	101	764	15045	65351	215190	2091388	48625Y09	ERS1140255
48707y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	180	167	12	102	520	12325	57906	158553	2058416	48707y09	ERS1140260
48721y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	160	155	12	105	571	13235	55598	214612	2051507	48721y09	ERS1140263
48748Y09	MN	0.12	2009	23a		338	7	13	8	6	1	6	8	1	172	170	15	103	566	12105	44482	127951	2057932	48748Y09	ERS1140265
50048y09	CO	0.25	2009	23a		338	7	13	8	6	1	6	8	1	302	293	12	102	239	7106	62464	123139	2082095	50048y09	ERS1140276
50997y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	257	244	12	111	269	8524	54721	162791	2079873	50997y09	ERS1140296
51035y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	178	175	10	101	319	11853	63784	215505	2074389	51035y09	ERS1140301
51057y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	147	139	11	101	590	15135	60614	162816	2103867	51057y09	ERS1140303
51067y09	MN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	127	121	11	101	1850	17306	61710	215002	2094083	51067y09	ERS1140304
59310Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	206	178	13	102	1019	11473	45955	162854	2042256	59310Y12	ERS1140313
59815Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	219	204	13	101	676	10259	45834	171848	2092858	59815Y12	ERS1140322
60051Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	302	283	15	100	235	7514	51278	127822	2126595	60051Y12	ERS1140325
60155Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	338	325	15	100	229	6547	51278	163089	2127854	60155Y12	ERS1140329
60185Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	170	161	11	101	494	13032	61089	215092	2098203	60185Y12	ERS1140332
60299Y12	GA	0.12	2012	23a		338	7	13	8	6	1	6	8	1	188	165	14	105	2150	12643	52106	158545	2086228	60299Y12	ERS1140340
61200Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	148	148	13	108	627	13940	51610	222763	2063251	61200Y12	ERS1140361
61232Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	155	149	10	101	583	14063	62531	214573	2095480	61232Y12	ERS1140364
61259Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	166	155	12	101	645	13600	58809	167842	2108083	61259Y12	ERS1140365
61266Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	212	209	15	100	522	10193	40735	171826	2130498	61266Y12	ERS1140366
61642Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	212	200	19	102	1460	10499	35426	104934	2099850	61642Y12	ERS1140371
61960Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	125	114	10	102	1082	18334	62850	215193	2090169	61960Y12	ERS1140377
61978Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	194	185	12	101	494	11396	55055	162793	2108422	61978Y12	ERS1140380
61981Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	151	142	11	101	738	14771	61439	215189	2097618	61981Y12	ERS1140381
62149Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	167	160	12	101	963	13358	56583	219629	2137356	62149Y12	ERS1140385
62422Y12	TN	0.12	2012	23a		338	7	13	8	6	1	6	8	1	176	171	13	104	620	12247	55087	169247	2094398	62422Y12	ERS1140392
63056Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	183	179	12	100	422	11709	55104	214374	2095915	63056Y12	ERS1140416
63247Y12	TN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	120	113	10	110	2537	18608	62743	220370	2102747	63247Y12	ERS1140438
63433Y12	GA	0.25	2012	23a		338	7	13	8	6	1	6	8	1	185	173	12	101	467	12138	58815	214612	2100016	63433Y12	ERS1140439
63469Y13	GA	0.25	2013	23a		338	7	13	8	6	1	6	8	1	126	117	10	101	1231	17934	65084	214627	2098312	63469Y13	ERS1140443
63953Y13	GA	0.25	2013	23a		338	7	13	8	6	1	6	8	1	244	239	12	101	299	8796	57904	162849	2102451	63953Y13	ERS1140462
63976Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	258	245	12	101	344	8743	55104	175707	2142114	63976Y12	ERS1140466
63996Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	157	151	11	101	970	13915	58638	158509	2101169	63996Y12	ERS1140468
64022Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	139	130	11	101	1146	15823	63463	162811	2057000	64022Y12	ERS1140470
64026Y12	MN	0.25	2012	23a		338	7	13	8	6	1	6	8	1	160	152	9	101	623	13832	65009	214663	2102535	64026Y12	ERS1140471
64089Y13	MN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	128	123	12	102	2150	17047	62359	215078	2096823	64089Y13	ERS1140474
64311Y13	GA	0.25	2013	23a		338	7	13	8	6	1	6	8	1	181	170	13	101	677	12058	46178	158447	2050012	64311Y13	ERS1140481
64415Y13	GA	0.25	2013	23a		338	7	13	8	6	1	6	8	1	190	187	12	100	436	11418	57314	214936	2135218	64415Y13	ERS1140485
64635y12	MD	0.25	2012	23a		338	7	13	8	6	1	6	8	1	141	135	10	100	920	15478	62549	215311	2089614	64635y12	ERS1140496
64742y13	GA	0.25	2013	23a		338	7	13	8	6	1	6	8	1	310	303	12	110	334	7182	59680	162793	2176448	64742y13	ERS1140508
64821Y13	TN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	149	140	11	101	738	14997	62533	229323	2099703	64821Y13	ERS1140511
64843Y13	TN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	346	341	41	103	2439	6133	15716	49439	2091445	64843Y13	ERS1140513
65154Y13	MN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	165	154	12	101	473	13328	59355	162793	2052549	65154Y13	ERS1140531
65157Y13	MN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	142	132	10	110	980	15632	62367	333721	2063514	65157Y13	ERS1140532
65161Y13	MN	0.25	2013	15c		338	7	13	8	6	1	6	8	1	156	149	11	101	609	13780	59454	216167	2053280	65161Y13	ERS1140534
65401Y13	TN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	394	370	16	100	177	5777	46556	163150	2137671	65401Y13	ERS1140540
65636Y13	MD	0.25	2013	23a		338	7	13	8	6	1	6	8	1	507	502	12	101	344	4451	51278	206471	2234630	65636Y13	ERS1140545
65650Y13	MD	0.25	2013	23a		338	7	13	8	6	1	6	8	1	183	173	11	102	407	11916	58630	162955	2061504	65650Y13	ERS1140550
65651Y13	MD	0.25	2013	23a		338	7	13	8	6	1	6	8	1	399	356	14	100	174	5865	53271	127730	2088288	65651Y13	ERS1140551
65668Y13	MD	0.25	2013	23a		338	7	13	8	6	1	6	8	1	150	141	11	101	677	14624	62219	219874	2062037	65668Y13	ERS1140552
65795y13	TN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	336	314	14	102	252	6843	55087	127625	2148709	65795y13	ERS1140566
65991Y13	MN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	149	141	10	101	1056	14584	62464	214637	2056400	65991Y13	ERS1140574
66015Y13	MN	0.25	2013	23a		11862	11	13	8	6	1	6	8	1	174	167	13	101	738	12765	51934	162811	2131798	66015Y13	ERS1140579
66038Y13	MN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	163	153	11	101	490	13637	59632	158444	2086594	66038Y13	ERS1140586
66094y13	TN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	153	149	10	101	555	14176	67712	163602	2112249	66094y13	ERS1140594
66227y13	MD	0.25	2013	23a		338	7	13	8	6	1	6	8	1	180	172	12	102	555	12200	56194	128357	2098525	66227y13	ERS1140596
66265Y13	MD	1	2013	23a		338	7	13	8	6	1	6	8	1	174	166	12	101	738	12623	50690	158452	2095503	66265Y13	ERS1140603
66396Y13	GA	0.25	2013	23a		338	7	13	8	6	1	6	8	1	149	137	10	101	1121	14994	62464	192916	2054311	66396Y13	ERS1140606
66434Y13	TN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	411	402	11	101	363	5477	62749	162899	2201823	66434Y13	ERS1140607
66694Y13	MN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	162	157	13	109	675	13101	55104	191096	2056887	66694Y13	ERS1140612
66730Y13	GA	0.25	2013	23a		338	7	13	8	6	1	6	8	1	195	193	15	101	1199	10841	45484	127559	2092342	66730Y13	ERS1140617
67022Y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	171	166	12	101	522	12725	55605	162793	2112486	67022Y13	ERS1140622
67026Y13	CT	0.12	2013	23a		338	7	13	8	6	1	6	8	1	137	135	11	104	967	15509	65074	220138	2093781	67026Y13	ERS1140623
67033Y13	CT	0.25	2013	23a		338	7	13	8	6	1	6	8	1	192	181	11	103	490	11589	56379	166630	2097654	67033Y13	ERS1140624
69469Y13	MN	0.25	2013	23a		338	7	13	8	6	1	6	8	1	141	135	10	101	911	15248	63644	162792	2058579	69469Y13	ERS1140641
1086	CA	0.25	2009	23b	23b1	63	2	5	36	12	17	21	14	2	157	139	14	102	2537	14793	45136	212467	2056335	1086	ERS1139790
20440y09	MD	0.25	2009	15a		63	2	5	36	12	17	21	14	2	147	140	12	101	1040	14723	51236	150659	2061243	20440y09	ERS1139793
20527y09	NY	0.25	2009	15a		63	2	5	36	12	17	21	14	2	119	113	11	100	3252	18231	56476	208991	2060137	20527y09	ERS1139795
20548y09	CA	0.12	2009	15a		63	2	5	36	12	17	21	14	2	133	126	12	105	2244	16399	56265	167601	2066386	20548y09	ERS1139796
20553y09	CA	0.25	2009	15a		63	2	5	36	12	17	21	14	2	127	122	12	106	2471	16921	51036	215413	2064363	20553y09	ERS1139797
20619y09	CT	0.25	2009	15a		63	2	5	36	12	17	21	14	2	147	143	12	101	1495	14469	45251	224143	2069095	20619y09	ERS1139798
20624y09	CT	0.25	2009	15a		63	2	5	36	12	17	21	14	2	115	112	11	101	2445	18355	57758	142940	2055827	20624y09	ERS1139799
